;; Dribble of #<IO TERMINAL-STREAM> started on 2015-11-30 22:13:01.

"       HP 0.27 | CB 0.17 | CO 0.56 RESULTADO: 700" 
"       HP 0.27 | CB 0.17 | CO 0.56 RESULTADO: 600" 
"       HP 0.27 | CB 0.17 | CO 0.56 RESULTADO: 400" 
"       HP 0.27 | CB 0.17 | CO 0.56 RESULTADO: 400" 
"       HP 0.27 | CB 0.17 | CO 0.56 RESULTADO: 200" 
"       HP 0.27 | CB 0.17 | CO 0.56 RESULTADO: 400" 
"       HP 0.27 | CB 0.17 | CO 0.56 RESULTADO: 200" 
"       HP 0.27 | CB 0.17 | CO 0.56 RESULTADO: 100" 
"       HP 0.27 | CB 0.17 | CO 0.56 RESULTADO: 300" 
"       HP 0.27 | CB 0.17 | CO 0.56 RESULTADO: 400" 
"       HP 0.27 | CB 0.17 | CO 0.56 RESULTADO: 400" 
"       HP 0.27 | CB 0.17 | CO 0.56 RESULTADO: 500" 
"       HP 0.27 | CB 0.17 | CO 0.56 RESULTADO: 200" 
"       HP 0.27 | CB 0.17 | CO 0.56 RESULTADO: 300" 
"       HP 0.27 | CB 0.17 | CO 0.56 RESULTADO: 400" 
"       HP 0.27 | CB 0.17 | CO 0.56 RESULTADO: 400" 
"       HP 0.27 | CB 0.17 | CO 0.56 RESULTADO: 400" 
"       HP 0.27 | CB 0.17 | CO 0.56 RESULTADO: 500" 
"       HP 0.27 | CB 0.17 | CO 0.56 RESULTADO: 600" 
"       HP 0.27 | CB 0.17 | CO 0.56 RESULTADO: 400" 
"       HP 0.27 | CB 0.17 | CO 0.56 RESULTADO: 500" 
"FINAL: HP 0.27 | CB 0.17 | CO 0.56 RESULTADO: 410" 
;; Dribble of #<IO TERMINAL-STREAM> finished on 2015-11-30 22:46:09.
