;; Dribble of #<IO TERMINAL-STREAM> started on 2015-11-30 21:53:20.

"       HP 0.17 | CB 0.44 | CO 0.40 RESULTADO: 700" 
"       HP 0.17 | CB 0.44 | CO 0.40 RESULTADO: 100" 
"       HP 0.17 | CB 0.44 | CO 0.40 RESULTADO: 400" 
"       HP 0.17 | CB 0.44 | CO 0.40 RESULTADO: 400" 
"       HP 0.17 | CB 0.44 | CO 0.40 RESULTADO: 400" 
"       HP 0.17 | CB 0.44 | CO 0.40 RESULTADO: 500" 
"       HP 0.17 | CB 0.44 | CO 0.40 RESULTADO: 200" 
"       HP 0.17 | CB 0.44 | CO 0.40 RESULTADO: 300" 
"       HP 0.17 | CB 0.44 | CO 0.40 RESULTADO: 400" 
"       HP 0.17 | CB 0.44 | CO 0.40 RESULTADO: 400" 
"       HP 0.17 | CB 0.44 | CO 0.40 RESULTADO: 400" 
"       HP 0.17 | CB 0.44 | CO 0.40 RESULTADO: 500" 
"       HP 0.17 | CB 0.44 | CO 0.40 RESULTADO: 600" 
"       HP 0.17 | CB 0.44 | CO 0.40 RESULTADO: 400" 
"       HP 0.17 | CB 0.44 | CO 0.40 RESULTADO: 500" 
"FINAL: HP 0.17 | CB 0.44 | CO 0.40 RESULTADO: 407" 
;; Dribble of #<IO TERMINAL-STREAM> finished on 2015-11-30 22:26:30.
