;; Dribble of #<IO TERMINAL-STREAM> started on 2015-11-30 22:11:22.

"       HP 0.17 | CB 0.44 | CO 0.4 RESULTADO: 200" 
"       HP 0.17 | CB 0.44 | CO 0.4 RESULTADO: 100" 
"       HP 0.17 | CB 0.44 | CO 0.4 RESULTADO: 300" 
"       HP 0.17 | CB 0.44 | CO 0.4 RESULTADO: 400" 
"       HP 0.17 | CB 0.44 | CO 0.4 RESULTADO: 400" 
"       HP 0.17 | CB 0.44 | CO 0.4 RESULTADO: 500" 
"       HP 0.17 | CB 0.44 | CO 0.4 RESULTADO: 200" 
"       HP 0.17 | CB 0.44 | CO 0.4 RESULTADO: 300" 
"       HP 0.17 | CB 0.44 | CO 0.4 RESULTADO: 400" 
"       HP 0.17 | CB 0.44 | CO 0.4 RESULTADO: 400" 
"       HP 0.17 | CB 0.44 | CO 0.4 RESULTADO: 400" 
"       HP 0.17 | CB 0.44 | CO 0.4 RESULTADO: 500" 
"       HP 0.17 | CB 0.44 | CO 0.4 RESULTADO: 600" 
"       HP 0.17 | CB 0.44 | CO 0.4 RESULTADO: 400" 
"       HP 0.17 | CB 0.44 | CO 0.4 RESULTADO: 500" 
"FINAL: HP 0.17 | CB 0.44 | CO 0.4 RESULTADO: 409" 
;; Dribble of #<IO TERMINAL-STREAM> finished on 2015-11-30 22:44:24.
